HYPONYM;HYPERNYM;SNIPPET
МОТОРКА;лодка;Моторная лодка.
МОТОРКА;моторная лодка;Моторная лодка.
МОТОРКА;мотор;Моторная лодка.
МОТОРКА;лодка-самоходка.;Лодка-самоходка
МОТОРКА;транспортное средство;
МОТОФРИСТАЙЛ;прыжки c акробатическими элементами;Мотофристайл (англ. Freestyle motocross, Freestyle MX, Moto X, FMX) — это термин, появившийся в 1990-х годах в США, обозначал невероятные прыжки c акробатическими элементами, которые совершали профессионалы во время мотокросса. Сегодня мотофристайл — это молодой вид спорта, в котором спортсмены совершают прыжки со специальных трамплинов, выполняя в полете различные трюки.
МОТОФРИСТАЙЛ;спорт;Мотофристайл (англ. Freestyle motocross, Freestyle MX, Moto X, FMX) — это термин, появившийся в 1990-х годах в США, обозначал невероятные прыжки c акробатическими элементами, которые совершали профессионалы во время мотокросса. Сегодня мотофристайл — это молодой вид спорта, в котором спортсмены совершают прыжки со специальных трамплинов, выполняя в полете различные трюки.
МОТОФРИСТАЙЛ;трюки;Мотофристайл (англ. Freestyle motocross, Freestyle MX, Moto X, FMX) — это термин, появившийся в 1990-х годах в США, обозначал невероятные прыжки c акробатическими элементами, которые совершали профессионалы во время мотокросса. Сегодня мотофристайл — это молодой вид спорта, в котором спортсмены совершают прыжки со специальных трамплинов, выполняя в полете различные трюки.
МОТОФРИСТАЙЛ;соревнование;Мотофристайл (фристайл мотокросс, freestyle motocross) — в этом соревновании у каждого спортсмена есть определенный лимит времени (как правило 2 минуты), за которое он должен выполнить свою программу из серии трюков. Как правило спортсмены стремятся выполнить как можно больше трюков. Обычно их число колеблется в пределах от 10 до 15 за одно выступление.
МОТОФРИСТАЙЛ;Фристайл мотокросс;Мотофристайл (фристайл мотокросс, freestyle motocross) — в этом соревновании у каждого спортсмена есть определенный лимит времени (как правило 2 минуты), за которое он должен выполнить свою программу из серии трюков. Как правило спортсмены стремятся выполнить как можно больше трюков. Обычно их число колеблется в пределах от 10 до 15 за одно выступление.
МОХОВИК;гриб;Моховик — гриб, который относится к отделу базидиомицеты, классу агарикомицеты, порядку болетовые, семейству болетовые (Boletaceae).
МОХОВИК;съедобный гриб;Мохови?к (лат. Xer?comus) — род съедобных трубчатых грибов семейства Болетовые (Boletaceae). Своё название получил из-за частого произрастания плодовых тел во мху.
МОХОВИК;семейство Болетовые;Мохови?к (лат. Xer?comus) — род съедобных трубчатых грибов семейства Болетовые (Boletaceae). Своё название получил из-за частого произрастания плодовых тел во мху.
МОХОВИК;мхи;Мохови?к (лат. Xer?comus) — род съедобных трубчатых грибов семейства Болетовые (Boletaceae). Своё название получил из-за частого произрастания плодовых тел во мху.
МОХОВИК;род Боровик;Часть систематиков относят грибы этого рода к роду Боровик (Boletus), что обусловлено, в первую очередь, неоднородностью рода Xerocomus.
МОШКА;насекомое;Мо?шки[1][2][3] (лат. Simuliidae) — семейство двукрылых насекомых, самки имаго которых в большинстве случаев являются компонентом комплекса гнуса. В настоящий момент в мировой фауне насчитывается около 2000 видов мошек. Ближайшими ныне живущими родственниками мошек считаются комары-дергуны. Мошки являются переносчиками нескольких заболеваний, включая онхоцеркоз в Африке (Simulium damnosum и S. neavei) и Америке (S. callidum и S. metallicum в Центральной Америке, S. ochraceum в Центральной и Южной Америках).
МОШКА;двукрылые насекомые;Мо?шки[1][2][3] (лат. Simuliidae) — семейство двукрылых насекомых, самки имаго которых в большинстве случаев являются компонентом комплекса гнуса. В настоящий момент в мировой фауне насчитывается около 2000 видов мошек. Ближайшими ныне живущими родственниками мошек считаются комары-дергуны. Мошки являются переносчиками нескольких заболеваний, включая онхоцеркоз в Африке (Simulium damnosum и S. neavei) и Америке (S. callidum и S. metallicum в Центральной Америке, S. ochraceum в Центральной и Южной Америках).
МОШКА;комары;Мо?шки[1][2][3] (лат. Simuliidae) — семейство двукрылых насекомых, самки имаго которых в большинстве случаев являются компонентом комплекса гнуса. В настоящий момент в мировой фауне насчитывается около 2000 видов мошек. Ближайшими ныне живущими родственниками мошек считаются комары-дергуны. Мошки являются переносчиками нескольких заболеваний, включая онхоцеркоз в Африке (Simulium damnosum и S. neavei) и Америке (S. callidum и S. metallicum в Центральной Америке, S. ochraceum в Центральной и Южной Америках).
МОШКА;мошкара;Мошка?, мо?шка, мошкара, гнус — обобщённое название скоплений мелких летающих насекомых.
МОШКА;гнус;Мошка?, мо?шка, мошкара, гнус — обобщённое название скоплений мелких летающих насекомых.
МУЗЕЕВЕД;специалист;Музеевед – это специалист, изучающий историю музеев, их общественные функции, теорию и методику музейного дела, исследующий процессы сохранения, сбора и трансляции социально значимой информации посредством музейных предметов, занимающийся развитием и организацией различных направлений музейной деятельности.
МУЗЕЕВЕД;музей;Музеевед – это специалист, изучающий историю музеев, их общественные функции, теорию и методику музейного дела, исследующий процессы сохранения, сбора и трансляции социально значимой информации посредством музейных предметов, занимающийся развитием и организацией различных направлений музейной деятельности.
МУЗЕЕВЕД;история;Музееведы занимаются поиском старинных предметов, представляющих этнографическую либо иную историческую ценность, оформлением экспозиций и осуществлением ухода за хранилищами экспонатов, поиском информации, проливающей свет на особенности того или иного экспоната и его значение для мировой этнографии или культуры в целом. Мезееведы участвуют в поисковых экспедициях, в том числе и археологических. Многие музееведы также занимаются реставрацией экспонатов, поиском и восстановлением либо копированием старинных предметов, представляющих историческую ценность.
МУЗЕЕВЕД;музейный экспонат;Музееведы занимаются поиском старинных предметов, представляющих этнографическую либо иную историческую ценность, оформлением экспозиций и осуществлением ухода за хранилищами экспонатов, поиском информации, проливающей свет на особенности того или иного экспоната и его значение для мировой этнографии или культуры в целом. Мезееведы участвуют в поисковых экспедициях, в том числе и археологических. Многие музееведы также занимаются реставрацией экспонатов, поиском и восстановлением либо копированием старинных предметов, представляющих историческую ценность.
МУЗЕЕВЕД;музейная деятельность;Музеевед – это специалист, изучающий историю музеев, их общественные функции, теорию и методику музейного дела, исследующий процессы сохранения, сбора и трансляции социально значимой информации посредством музейных предметов, занимающийся развитием и организацией различных направлений музейной деятельности.
